run_id,T1,d1,th1,br1,d2,th2,br2
401,0.5,0.0,0.5,0.5,-45.0,1.0,0.5
402,0.5,45.0,1.0,1.0,-45.0,0.0,1.0
403,0.5,-45.0,0.0,3.0,-22.5,0.0,1.0
404,0.5,0.0,0.5,10.0,0.0,0.0,1.0
405,0.5,-22.5,1.0,0.0,22.5,0.0,3.0
406,0.5,45.0,0.0,0.5,22.5,0.5,3.0
407,0.5,-22.5,0.5,1.0,45.0,0.5,6.0
408,0.5,22.5,1.0,6.0,-45.0,0.5,6.0
409,0.5,0.0,0.0,10.0,-22.5,1.0,10.0
410,0.5,45.0,0.5,0.0,-22.5,1.0,10.0
411,0.5,-45.0,1.0,0.5,0.0,1.0,0.0
412,0.5,0.0,0.0,3.0,22.5,1.0,0.0
413,0.5,-22.5,0.5,6.0,22.5,0.0,0.5
414,0.5,22.5,1.0,10.0,45.0,0.0,0.5
415,0.5,-45.0,0.0,0.5,-45.0,0.0,1.0
416,0.5,-22.5,1.0,3.0,-22.5,0.5,1.0
417,0.5,45.0,0.0,6.0,0.0,0.5,3.0
418,0.5,-45.0,0.5,10.0,22.5,0.5,3.0
419,0.5,0.0,1.0,0.0,22.5,1.0,6.0
420,0.5,-22.5,0.0,0.5,45.0,1.0,6.0
421,0.5,45.0,0.5,1.0,-45.0,1.0,10.0
422,0.5,-22.5,1.0,3.0,-22.5,1.0,10.0
423,0.5,22.5,0.0,6.0,-22.5,0.0,0.0
424,0.5,0.0,0.5,0.0,0.0,0.0,0.0
425,0.5,45.0,1.0,0.5,22.5,0.0,0.5
426,0.5,0.0,0.5,3.0,45.0,0.5,1.0
427,0.5,-22.5,1.0,10.0,-45.0,0.5,1.0
428,0.5,45.0,0.0,0.0,-22.5,0.5,3.0
429,0.5,-45.0,0.5,0.5,0.0,1.0,3.0
430,0.5,22.5,1.0,3.0,0.0,1.0,3.0
431,0.5,0.0,0.0,6.0,22.5,1.0,6.0
432,0.5,45.0,0.5,10.0,45.0,1.0,6.0
433,0.5,-45.0,1.0,0.0,45.0,0.0,10.0
434,0.5,22.5,0.0,1.0,-45.0,0.0,10.0
435,0.5,-22.5,0.5,3.0,-45.0,0.0,0.0
436,0.5,45.0,1.0,6.0,-22.5,0.0,0.0
437,0.5,-22.5,0.0,10.0,0.0,0.5,0.5
438,0.5,22.5,0.5,0.5,0.0,0.5,0.5
439,0.5,0.0,1.0,1.0,22.5,0.5,1.0
440,0.5,45.0,0.0,3.0,45.0,1.0,1.0
441,0.5,-45.0,0.5,6.0,-45.0,1.0,3.0
442,0.5,0.0,1.0,10.0,-45.0,1.0,3.0
443,0.5,-22.5,0.0,0.0,-22.5,1.0,3.0
444,0.5,22.5,0.5,0.5,0.0,0.0,6.0
445,0.5,-45.0,1.0,1.0,0.0,0.0,6.0
446,0.5,22.5,0.0,3.0,22.5,0.0,10.0
447,0.5,-22.5,0.5,6.0,45.0,0.5,10.0
